probes,Symbols,Probe_ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
207802_at,CRISP3,207802_at,5.914106979,7.745091358,6.698064858,1.42e-06,0.00509928,5.165228649
204777_s_at,MAL,204777_s_at,5.254231596,11.27220238,7.552067881,2.39e-07,0.001863294,6.678259419
220090_at,CRNN,220090_at,5.018400859,11.22529007,5.859879971,8.92e-06,0.015197006,3.564555441
207935_s_at,KRT13,207935_s_at,4.487325377,11.86684524,3.579752529,0.001817461,0.12259794,-1.181551579
220026_at,CLCA4,220026_at,4.297836955,9.384505841,6.152504076,4.65e-06,0.012079403,4.135789636
230835_at,KRTDAP,230835_at,4.27292962,11.62888314,3.643935059,0.001563322,0.11634244,-1.046527367
218990_s_at,SPRR3,218990_s_at,4.051181721,12.08809717,4.149817133,0.000473648,0.073779854,0.025725623
225681_at,CTHRC1,225681_at,-4.037048982,8.310232408,-7.827181419,1.37e-07,0.0016083,7.139566561
1560712_at,TMPRSS11B,1560712_at,4.022834418,9.145050345,3.886608232,0.000882547,0.093279417,-0.533363261
207039_at,CDKN2A,207039_at,-3.848424281,8.649065439,-6.924912963,8.74e-07,0.00434494,5.579033816
223720_at,SPINK7,223720_at,3.796591887,9.5558033,3.771536911,0.001157827,0.104150827,-0.777130269
231771_at,GJB6,231771_at,3.669955855,11.01427119,4.038381795,0.000616514,0.080651639,-0.211111911
205363_at,BBOX1,205363_at,3.629299161,8.47241859,6.477567733,2.28e-06,0.006922815,4.754906178
235272_at,SBSN,235272_at,3.627626113,11.02859612,4.036528627,0.000619222,0.080651639,-0.215049654
205900_at,KRT1,205900_at,3.601145371,11.21746409,3.53135232,0.002035649,0.12499472,-1.283118871
213796_at,SPRR1A,213796_at,3.470862261,12.62292048,3.708382352,0.001343501,0.109146959,-0.910606365
206642_at,DSG1,206642_at,3.470716662,8.136384465,2.853089674,0.009668559,0.225524099,-2.669216831
224329_s_at,CNFN,224329_s_at,3.465586517,10.71597666,3.813984137,0.00104756,0.100131755,-0.687285502
223642_at,ZIC2,223642_at,-3.439535112,7.191749452,-10.68139476,7.83e-10,4.28e-05,11.21226116
