Genes,GSM1551311_Normal.CEL,GSM1551312_Normal.CEL,GSM1551313_Normal.CEL,GSM1551314_Normal.CEL,GSM1551315_Normal.CEL,GSM1551316_Normal.CEL,GSM1551317_Normal.CEL,GSM1551318_Normal.CEL,GSM1551319_Normal.CEL,GSM1551320_Normal.CEL,GSM1551411_Cancer.CEL,GSM1551412_Cancer.CEL,GSM1551413_Cancer.CEL,GSM1551414_Cancer.CEL,GSM1551415_Cancer.CEL,GSM1551416_Cancer.CEL,GSM1551417_Cancer.CEL,GSM1551418_Cancer.CEL,GSM1551419_Cancer.CEL,GSM1551420_Cancer.CEL,,
A2ML1,8.713056082,7.638881682,8.600003832,7.676647161,8.783043822,7.532301355,8.376379701,9.429012232,8.393713111,8.699714091,7.058106041,9.81666139,8.823581065,7.107432597,7.076522432,6.859244732,6.366343272,6.180425793,7.06158152,6.221703312,,
SCEL,3.445728309,3.433360183,3.439226334,3.234875722,3.342498457,3.547167416,3.388986804,3.552612534,3.345305776,3.418468128,3.337415639,3.465637368,3.269211375,3.375980109,3.424309103,3.448321715,3.421308233,3.307628366,3.563992628,3.662639218,,
SCEL,7.286837527,7.319958178,8.86488804,6.948141194,7.91862232,7.305942734,8.505060121,9.691762218,7.429805795,8.759208608,6.094386785,8.518166279,7.317281831,7.408321882,7.536628414,6.290893271,6.065100508,6.894093578,6.469674164,6.303430521,,
GBP6,6.094336913,8.04768685,7.651389856,7.536181227,7.266574175,4.639263738,7.401308715,9.790953267,8.089430808,9.760252446,4.971992307,6.354043205,5.215316004,4.99784523,4.713334001,4.962885124,4.672498099,5.456615127,5.398521012,4.485924906,,
GBP6,12.04448161,11.78049529,12.49676456,11.78708355,12.01022646,10.28435019,10.54164604,12.75578065,11.04011479,12.43831102,7.780634057,10.04769889,10.54357526,7.404459211,8.269329187,8.711880492,8.134738034,7.646147704,8.992936625,7.876905237,,15.03241216
TMPRSS11B,11.10324817,9.040593077,12.70531832,9.456932779,11.13679998,13.70777009,11.73306205,12.69320613,7.129180133,12.85856482,5.484153686,12.41968655,12.21093589,5.925295037,7.415299318,5.506246583,4.996830988,5.008046962,6.14044742,6.229388933,,3.234875722
A2ML1,10.64990323,10.66453962,11.65741541,10.95168626,11.13804337,9.214844843,10.95389583,11.98158975,9.693571445,8.493572425,5.755180672,10.5828177,10.37035205,6.455051211,8.833279748,6.627856705,5.841435646,6.504444246,5.964985862,6.909281263,,
HOPX,7.49118778,7.311332759,7.491831149,7.497382294,7.956642715,7.927998241,7.54919594,7.358346255,7.194964409,7.122264259,7.49118778,7.436806771,7.499382946,7.916258418,7.596477788,7.583432529,6.920010709,7.219657091,7.443792338,7.51708538,,
HOPX,6.651760304,6.902128533,6.215317319,6.382522784,6.57428172,6.408057469,7.056575435,7.660349584,7.967446483,7.029499658,6.036330813,8.518009586,7.887217239,6.03544675,5.72379791,5.747951445,5.449908103,5.552745341,6.465929901,6.111469685,,
CYSRT1,11.17389743,9.807238954,11.25951696,9.752779051,10.48341728,8.829694727,10.0649404,11.31162886,8.156974329,11.62087275,6.382100371,9.294909317,9.533486653,7.257216083,10.29223363,7.050093438,6.074586572,6.807691742,7.805687031,6.939551665,,
