DEGs,GSM1551311_Normal.CEL,GSM1551312_Normal.CEL,GSM1551313_Normal.CEL,GSM1551314_Normal.CEL,GSM1551315_Normal.CEL,GSM1551316_Normal.CEL,GSM1551317_Normal.CEL,GSM1551318_Normal.CEL,GSM1551319_Normal.CEL,GSM1551320_Normal.CEL,GSM1551411_Cancer.CEL,GSM1551412_Cancer.CEL,GSM1551413_Cancer.CEL,GSM1551414_Cancer.CEL,GSM1551415_Cancer.CEL,GSM1551416_Cancer.CEL,GSM1551417_Cancer.CEL,GSM1551418_Cancer.CEL,GSM1551419_Cancer.CEL,GSM1551420_Cancer.CEL
KLHDC7B,7.210344728,7.24021433,7.586962632,7.284183177,7.261647794,7.261684389,7.506162715,7.006239607,7.056150872,6.857738766,7.629561555,7.085160917,7.722555335,7.455834573,7.231842331,7.69156112,7.399073615,7.913454075,8.218197034,7.188823847
BNIPL,10.38576225,10.34273142,10.05882221,10.20316152,11.09130914,10.36338711,10.757073,9.864815178,10.07932302,9.594194944,9.928232163,9.955457697,10.03646448,10.13141683,10.28999273,10.31866681,9.236791356,9.439493056,9.510663535,9.039047517
RPTN,4.779003559,4.759750564,4.620178203,4.837470323,4.652022674,4.675073876,4.682217863,4.470530645,4.687865399,4.334446303,4.404173006,4.504704123,4.549103245,4.567512122,4.494219363,4.577429738,4.386347572,4.518163377,4.439318495,5.151578601
A2ML1,8.921451942,9.419174774,9.231120061,9.746080894,9.195534421,8.491811522,9.375058104,9.322597279,9.112855164,9.702433425,8.51952455,8.971614098,10.02880397,8.995457697,8.822174654,8.630072107,10.51025413,10.80772838,9.944188281,8.228069352
SCEL,6.873902593,6.777892753,6.478943464,6.632942389,7.039773616,6.806071803,7.240371308,7.429926766,7.317306885,6.676347795,6.831310675,6.801213754,7.150338447,6.860456187,7.155215749,6.977990968,6.989651801,7.536968053,7.16916458,6.509193651
THSD4,6.181985364,6.190411109,6.098701065,6.192033512,6.09737989,6.098570968,6.340882724,5.945992354,5.916307603,6.032078007,5.786831254,5.891993555,6.105281165,5.820659114,6.157001237,6.21695002,5.794996582,6.008581186,6.571117375,6.124171234
ANKRD36BP2,8.110502436,7.606943849,6.787931433,7.126544385,8.369306616,5.945842315,5.968978277,9.421930943,7.03350807,8.312571385,6.358387861,6.868888359,8.257812702,8.332309532,6.668399294,6.867353095,9.315583715,9.242929557,7.342883404,6.629433168
FAM83C,5.078789875,4.877803105,5.409121565,5.337997345,4.94109656,4.941272105,6.185149927,4.756744188,4.662455481,5.272192041,4.664678637,5.027431864,4.995955178,4.826472461,6.850159391,4.808079261,5.385156057,4.873220102,4.891557351,5.183337568
PNLIPRP3,8.306251795,8.455184325,7.941482556,8.127205534,8.439818661,8.138784885,8.760075956,7.815268269,7.218761276,8.441851244,7.656104217,7.923798144,8.120902992,8.214788552,8.189297138,8.384260734,7.068424584,7.371857768,8.008884696,7.760020837
GBP6,9.141836837,9.680570959,9.26703817,9.354133283,9.132034251,9.037187414,9.406571191,9.047553814,8.991244297,9.592368252,8.174136026,8.89682107,8.922820573,8.244728863,9.202220026,9.362886122,8.370922124,9.19674348,9.676885885,8.40435693
TMPRSS11B,8.506023944,8.402838716,8.664074532,8.564341627,8.746101023,8.446671634,8.353582474,8.346177889,8.09157699,8.245632352,8.06878782,8.265698211,8.485047457,8.27803224,8.573654004,8.396676211,7.559255262,7.868600214,8.107569919,7.989033204
MTHFD1L,7.055363291,7.621901086,6.940789343,7.28006226,7.314679659,7.140632724,7.904984682,7.002543114,6.863801478,7.321654687,8.557050677,7.027775917,7.68018093,7.547869283,6.850313958,8.019805257,7.25886291,7.797106518,8.507067493,6.436438332
WDR72,10.81222602,11.55597239,11.706096,11.52643112,11.08560367,9.221702574,11.14038394,11.05161208,10.24130407,11.70582326,9.963176106,10.93248245,10.9725906,9.988679535,11.04899936,10.82481693,9.681203268,9.991252053,10.80949044,8.707899918
MPP7,6.706644551,6.618255644,6.493099942,6.462876543,6.610343755,6.895047025,6.570897158,6.38517967,6.382412184,6.519433381,6.596732032,6.525299462,6.563434259,6.813133285,6.484989487,6.335604418,6.50305872,6.708956042,7.466136913,6.261523967
EMP1,6.454719986,6.107739266,6.406380772,6.135860281,6.5242311,6.600680024,6.245333336,5.850245774,8.525771713,5.97925505,6.427787278,6.367983949,6.455359816,6.167863443,6.158542206,6.326389702,6.534377249,8.471565534,6.260993161,6.273344063
HOPX,8.070361054,8.868491849,8.962670031,8.628679928,8.476686102,9.316645201,8.117023271,8.521642519,8.201892946,8.351033852,7.3975665,7.795613591,8.153789343,8.02573902,9.099538206,7.659883722,8.179530459,7.196322039,7.147429995,8.119939424
SPP1,7.516814285,8.061468397,8.187542394,7.865817498,8.117054996,8.026305796,8.044906093,7.637801255,7.311624328,7.762164225,7.192287791,7.568293513,7.448937191,7.391651766,8.05808996,7.841764372,7.251155533,6.977818892,6.904892974,7.043421896
CYSRT1,5.16922704,4.798892807,4.682234021,5.023469782,4.88089567,5.263282149,4.778149678,4.900388611,5.224640947,4.909001403,4.793540315,4.693321544,4.913186272,4.864260208,4.85194716,4.86263898,4.84303444,5.170619771,4.951127567,4.858806691
FNDC3B,5.64784312,5.862761298,5.667783765,5.905197896,5.644182796,6.230996338,5.700880646,5.413645791,5.488799514,5.391780365,5.740670736,5.541633981,5.95653817,5.573564655,5.937406875,5.638487324,5.420774812,4.908046869,6.006124595,5.354704727
EREG,7.029005193,7.325127126,7.44517086,7.479918076,7.182012527,7.244533978,7.258926496,6.896167763,6.608393671,7.151701149,6.587489401,7.172687487,7.407321749,6.924579452,7.457955434,6.929327426,6.774507445,7.095581952,6.818128111,6.854617871
CSTB,6.482114172,6.597491642,6.315873757,6.564314848,6.642283534,6.281845377,6.522644442,6.561882126,6.241818828,6.637183136,5.775790335,6.017836928,6.414071959,6.0576012,6.512552676,6.357988298,6.327738256,6.938435097,6.338110081,5.905822457
LAMA4,7.420112805,6.561685511,6.746044766,6.931690119,6.653661902,6.375366056,7.510560167,7.718141833,7.26215557,6.734230262,7.319503811,6.70146492,7.129664564,7.371087668,6.669961784,6.093265777,6.497945353,7.725975017,7.963464873,6.031586514
NNMT,6.769261871,6.012995926,6.318550952,6.833015686,6.607082205,6.108596111,6.530218039,6.629332056,5.938809752,6.101111312,6.43006638,6.284649912,7.0857727,6.31142343,5.841553422,6.377772263,7.014113072,5.409492792,5.59559958,6.327489127
GBP1,7.428114753,7.471029652,7.372000641,7.098593361,7.697577467,7.473554609,7.48152321,6.885726283,6.890877153,7.023674744,6.904640555,7.173535636,7.586751185,7.300910721,7.667679607,7.388677783,6.790832501,7.047379401,7.28387304,6.608302961
CRABP2,8.376215175,8.286366315,8.267858646,8.26002904,8.039431974,8.375143027,7.895792179,8.437818992,8.221880556,8.687166821,8.397908354,7.818553391,8.165589003,8.065148713,8.332734415,9.409303427,8.991953574,8.218371167,8.736990064,10.40987089
CXCL8,7.156192079,6.335593273,6.531015137,6.876825568,6.884774151,6.551830788,6.627401444,6.375963232,6.495130719,6.500103487,6.732205295,6.721258432,7.005505682,6.65891045,6.930119037,6.698677924,6.452491561,6.495130719,6.592869572,6.200413126
TF,8.029533806,8.081341128,8.413673278,8.315943792,8.566326553,8.48193881,8.368021731,7.898976009,7.817952811,8.104130732,8.186606203,8.155125445,8.360689207,8.322919815,8.253229871,7.925159548,7.841459123,8.344952568,8.015356092,7.767661137
HPGD,6.649117768,6.383417115,6.228112302,6.347993463,6.853525748,6.661957735,6.381143191,6.227300503,5.882738133,6.300435525,6.334718406,6.389661626,6.393913505,6.4519405,6.499040461,6.602355455,5.452834387,6.007795166,6.648005789,6.009394165
ME1,9.402322948,9.088816639,9.258455371,9.549814746,9.623582839,9.4504499,9.347261053,8.683032209,8.87843522,8.613528106,8.785851504,8.89658394,9.24078509,8.916956627,9.153631056,9.32646704,8.492691969,8.714361358,8.849386819,8.460090186
ELOVL6,5.179628298,6.418263987,6.507228586,6.08744718,5.103984828,6.826734706,5.586770224,5.889033843,5.732744296,6.474115034,6.943014865,5.688969949,6.054281881,5.595540702,6.867086966,6.519501602,7.202839065,6.838467023,10.69016015,5.671318771
PPP1R3C,8.133903998,8.040845705,7.930416694,8.034524935,7.857180684,8.145484821,7.900915816,7.428581984,7.49989497,7.852785148,7.22313912,7.122704177,7.548163745,7.408517827,7.616324284,8.170676046,7.486937566,7.824371303,8.10291739,7.86490499
ACP3,7.041038043,7.825170768,9.117521432,7.296505129,7.190413855,7.967905548,7.798891955,8.487091584,8.650852924,8.661656215,8.987698964,8.051904234,8.244283001,7.963118418,6.539583405,8.512438327,9.740136125,10.82686079,9.220646088,9.617480529
IFI44L,4.835713252,4.826907856,4.716607099,4.67247434,4.954024923,4.772696861,4.748440869,4.441507657,4.964857351,4.708102084,4.655964238,4.61404194,4.817972853,4.973515165,5.034872685,5.074626531,4.760930871,4.857930769,5.145835228,5.121040668
CXCL1,7.016664226,6.94118394,6.982675297,6.997887611,7.340309188,7.455614196,7.09330759,6.556153819,6.453169814,7.171851121,6.60896218,6.748060035,7.245354227,6.968377792,7.035509363,7.216306,6.135407688,6.662986735,6.233689873,6.407210943
MMP12,6.812646941,7.20773893,6.712214969,7.406569484,6.127082273,7.202101921,6.651382966,7.455158699,8.032850681,7.481455811,9.426659865,7.201096777,5.678047282,7.972810075,9.972130526,9.44203265,8.495395862,7.877785117,7.059314838,8.221102468
SERPINB2,5.721620312,5.673311998,5.604437355,5.694139063,5.702605841,5.858087046,5.799211213,5.723080385,5.269925518,5.540232111,5.511069265,5.391394035,5.361401982,5.448513998,5.732360309,5.895764518,5.364195665,5.337318741,5.565711621,5.594216822
KRT15,8.219929432,8.296047663,8.426333329,8.221104461,8.337029541,8.320691551,8.61331945,7.817655561,7.954474226,8.006480511,8.09861495,8.077479439,8.584097672,7.989493756,8.366927573,8.661222949,7.844623081,8.437050102,8.943864843,8.756197851
DSC2,4.542751403,4.522406906,4.849857172,4.617810452,4.700894383,4.520583079,4.87303135,4.734114263,4.808540366,4.653068704,4.940607626,4.916666354,4.834889773,4.601139684,4.955599502,4.972465672,5.224591839,5.387830658,4.951692072,5.206473767
MAL,7.199121574,7.554559045,7.644995861,7.405998719,7.456298248,7.443412557,7.319503811,7.200137459,6.806949741,7.203441626,8.266047451,7.016946611,6.825217577,6.911239219,7.132015249,7.327063695,6.535659854,6.448636665,6.653987191,6.746324071
MLF1,6.122484677,6.319101052,6.349196072,6.361048333,6.617053977,6.707117064,6.449610111,6.377969753,6.208762415,6.352823051,6.132238976,6.393553652,6.830126698,6.619997062,6.531298116,6.503834948,6.603934643,6.537074453,6.944856482,6.448498931
INHBA,4.291985278,4.091716619,3.866438575,3.74867626,4.233573355,3.665334387,3.997050341,4.209613776,7.027139874,4.220665205,4.539168469,4.85194716,5.673540316,4.317294694,4.315682505,3.880155973,6.237047126,8.185466808,8.15742451,4.108070785
FGFBP1,5.502193249,5.603055088,5.265170602,5.495049518,5.41081977,5.429947883,5.595494718,5.556579804,6.577646554,5.646985866,5.510187198,5.337202844,5.81862583,5.601480138,5.592020547,5.506739574,5.68650488,6.030900595,5.996596761,5.501260402
SPRR1B,6.059032319,6.166532508,6.351343994,6.412476351,6.196000526,6.138488979,5.995428223,5.886389096,6.697840077,6.082215777,6.620681641,6.606473118,5.778137757,6.330940397,6.324686729,6.877148292,7.660168759,6.565575481,5.731834219,6.252141056
KRT17,6.441392106,6.736762814,6.152808861,5.60695266,5.819593652,7.161618187,6.3490913,6.084425118,6.676616273,6.422733411,6.825311117,7.125367117,6.151115839,6.819720784,7.178883874,7.423551782,6.990204028,6.350192533,6.157390875,7.979627304
SPINK5,8.059132027,7.516225282,7.345880224,7.465306034,7.423635703,8.144613559,7.500910215,7.478234723,7.567169072,7.567400427,7.36420462,7.720110501,8.041842593,7.367810408,7.6488697,7.605205806,7.651579103,7.022859949,7.937019797,8.061931123
ESR1,6.168642498,6.195103897,5.833003367,6.208423155,6.59474148,6.514698116,6.656280999,6.042012159,6.66901668,5.98854894,7.327876684,6.338630817,7.188852583,8.068624861,6.424656596,6.304262872,7.689907168,6.434379452,6.698677383,7.441234714
